ID,GID,cantidad_personas,max_dias_acumulacion
91,134010.0,49.986428571428576,4.0
92,134044.0,85.22333333333334,2.0
93,134021.0,54.8,4.0
94,136892.0,81.09809523809525,2.0
95,133915.0,13.452380952380954,15.0
96,133896.0,56.43142857142858,4.0
97,133906.0,58.919047619047625,3.0
98,133920.0,58.919047619047625,3.0
99,133897.0,63.81809523809525,3.0
100,134000.0,61.10079365079365,3.0
101,134063.0,61.10079365079365,3.0
102,133967.0,67.45714285714287,3.0
103,133903.0,71.2561904761905,3.0
104,134080.0,130.84285714285716,2.0
105,134070.0,64.85928571428572,3.0
106,136852.0,97.49841269841272,2.0
107,133981.0,103.16984126984129,2.0
108,133893.0,22.73333333333333,9.0
109,133966.0,68.62285714285716,3.0
110,133991.0,97.57619047619048,2.0
111,134046.0,73.8202380952381,3.0
112,133980.0,39.125079365079365,5.0
113,133936.0,39.125079365079365,5.0
114,133971.0,72.66857142857145,3.0
115,133952.0,61.72571428571429,3.0
116,133972.0,47.8257142857143,4.0
117,133935.0,74.56190476190476,3.0
118,133970.0,53.720000000000006,4.0
119,133934.0,63.38952380952382,3.0
120,160372.0,119.10000000000002,2.0
121,160373.0,121.96666666666668,2.0
122,133969.0,20.43428571428572,10.0
123,136832.0,135.20000000000002,1.0
124,136813.0,74.96666666666667,3.0
125,136812.0,74.96666666666667,3.0
126,139154.0,83.84880952380954,2.0
127,139175.0,88.53333333333333,2.0
128,133905.0,60.57142857142857,3.0
129,143772.0,102.63333333333334,2.0
130,133963.0,104.06666666666668,2.0
131,133914.0,122.8714285714286,2.0
132,133912.0,116.86666666666667,2.0
133,139280.0,84.53809523809525,2.0
134,139281.0,75.20476190476191,3.0
135,139237.0,75.14,3.0
136,139263.0,74.38380952380953,3.0
137,139278.0,120.99809523809525,2.0
138,160353.0,87.86666666666667,2.0
139,161512.0,87.86666666666667,2.0
140,139171.0,42.595238095238095,5.0
141,139115.0,53.62380952380953,4.0
142,139189.0,47.74761904761905,4.0
143,139172.0,35.123809523809534,6.0
144,139104.0,122.685,2.0
145,139124.0,87.46000000000001,2.0
146,139220.0,122.08444444444449,2.0
147,139279.0,86.33619047619047,2.0
148,139282.0,49.36253968253968,4.0
149,139217.0,88.03587301587304,2.0
150,139277.0,119.17333333333336,2.0
151,139098.0,64.56190476190477,3.0
152,139139.0,58.90190476190477,3.0
153,139125.0,123.5504761904762,2.0
154,139117.0,104.84785714285717,2.0
155,139218.0,112.56158730158732,2.0
156,139148.0,110.95714285714286,2.0
157,139147.0,119.225,2.0
158,139153.0,122.45333333333336,2.0
159,139162.0,107.4,2.0
160,139177.0,93.91714285714286,2.0
161,144192.0,122.07111111111112,2.0
162,139261.0,62.625396825396834,3.0
163,139262.0,99.14285714285715,2.0
164,139097.0,64.81142857142858,3.0
165,139122.0,48.42095238095239,4.0
166,139099.0,44.45714285714286,4.0
167,139134.0,120.245,2.0
168,139132.0,70.94761904761906,3.0
169,139116.0,59.23619047619048,3.0
170,164652.0,59.72190476190477,3.0
171,139190.0,86.5752380952381,2.0
172,139193.0,97.68190476190476,2.0
173,139174.0,72.69928571428572,3.0
174,139133.0,91.11261904761903,2.0
175,139107.0,98.77619047619048,2.0
176,139102.0,91.10214285714284,2.0
177,139137.0,138.88380952380953,1.0
178,139140.0,138.88380952380953,1.0
179,140533.0,89.20857142857143,2.0
180,139176.0,96.65714285714286,2.0
181,139235.0,131.38857142857142,2.0
182,139121.0,66.82714285714286,3.0
183,139191.0,71.14857142857143,3.0
184,139192.0,71.14857142857143,3.0
185,139120.0,9.82190476190476,20.0
186,171473.0,171.9,1.0
187,171472.0,176.81428571428572,1.0
188,139110.0,60.03666666666667,3.0
189,139155.0,113.53968253968254,2.0
190,139236.0,129.16,2.0
191,149792.0,135.87968253968253,1.0
192,139109.0,116.47301587301588,2.0
193,139123.0,110.74,2.0
194,139105.0,93.41142857142856,2.0
195,160272.0,101.92,2.0
